602, 425
789, 719
405, 713
521, 517
465, 618
676, 557
691, 511
540, 757
751, 382
644, 501
575, 603
812, 353
513, 623
564, 460
487, 570
671, 531
534, 555
754, 649
608, 539
652, 519
571, 509
729, 549
217, 591
562, 538
487, 564
740, 707
744, 611
654, 437
481, 519
452, 634
558, 479
727, 623
698, 586
643, 480
686, 522
659, 429
562, 340
539, 677
580, 537
787, 692
562, 638
743, 562
628, 604
528, 439
708, 593
561, 498
670, 502
746, 667
748, 642
587, 429
692, 493
525, 606
784, 722
477, 401
375, 652
658, 512
573, 674
200, 200
750, 612
674, 533
581, 369
509, 574
583, 639
413, 316
612, 693
615, 385
652, 454
685, 815
295, 767
683, 663
587, 458
578, 856
731, 578
719, 612
629, 525
664, 573
760, 691
486, 570
622, 823
552, 473
769, 715
673, 595
451, 632
786, 677
363, 504
591, 629
764, 720
691, 407
718, 561
670, 662
618, 605
681, 591
855, 897
724, 628
544, 365
573, 482
784, 732
603, 491
512, 681
512, 591
660, 522
473, 603
626, 370
252, 874
805, 894
621, 503
411, 875
716, 556
777, 751
632, 462
559, 666
486, 704
708, 596
561, 611
573, 700
649, 588
624, 556
704, 535
436, 997
516, 329
711, 625
478, 670
812, 766
572, 611
652, 703
548, 567
667, 704
605, 330
577, 673
692, 611
576, 676
503, 500
752, 682
752, 693
770, 695
412, 624
546, 659
726, 631
540, 337
726, 597
749, 764
623, 568
670, 494
585, 466
538, 658
734, 596
617, 630
626, 496
654, 598
716, 714
707, 659
563, 475
736, 307
772, 821
643, 531
524, 691
670, 547
484, 641
715, 615
410, 645
686, 478
775, 762
603, 544
638, 619
636, 502
562, 427
725, 677
749, 670
545, 412
614, 422
729, 642
602, 602
720, 725
458, 579
512, 398
709, 581
657, 509
553, 550
740, 692
512, 490
407, 563
485, 651
650, 551
375, 982
542, 393
568, 538
696, 622
247, 781
682, 459
551, 581
514, 619
602, 622
653, 575
388, 990
662, 502
535, 687
671, 316
399, 520
328, 514
740, 650
909, 836
615, 524
619, 499
441, 301
535, 421
586, 494
748, 564
659, 593
639, 680
577, 506
558, 896
666, 513
711, 702
439, 473
657, 597
530, 720
764, 739
742, 685
655, 531
400, 200
523, 333
584, 608
749, 708
653, 497
354, 712
489, 541
200, 200
724, 712
516, 708
653, 572
617, 542
581, 523
582, 427
719, 675
651, 470
513, 687
650, 606
620, 497
622, 493
674, 633
741, 698
532, 463
376, 652
549, 654
592, 557
723, 568
762, 678
631, 583
640, 639
486, 894
561, 511
669, 457
679, 341
529, 679
673, 255
592, 741
729, 642
497, 499
763, 760
792, 808
724, 659
404, 96
678, 595
724, 473
444, 395
532, 359
620, 443
567, 442
710, 596
401, 728
703, 683
747, 625
623, 379
605, 458
759, 671
607, 521
649, 455
716, 499
660, 546
597, 546
